,Paper_title,URL,Review_scores,Average,Rank
0,PiC: A Phrase-in-Context Dataset for Phrase Understanding and Semantic Search,https://openreview.net/forum?id=NETsAaKwzMp,"[6, 5, 7, 5, 6]",5.8,1
1,FlowchartQA: The First Large-Scale Benchmark for Reasoning over Flowcharts,https://openreview.net/forum?id=Z_0_pTPvI4W,"[5, 6, 6, 5, 7]",5.8,2
2,Does Action Recognition Need Pose Estimation?,https://openreview.net/forum?id=PIb7WU8jQQH,"[6, 2, 3, 5, 7, 4]",4.5,3
3,CaltechFN: Distorted and Partially Occluded Digits,https://openreview.net/forum?id=FPYO0n8JxB,"[2, 4, 7, 6, 3, 8]",5.0,4
4,State of the Benchmark: Existing Efforts across Modalities supporting Single and Multipurpose AI,https://openreview.net/forum?id=xwL3PfhRz4c,"[5, 3, 4, 4, 3, 4]",3.8333333333333335,5
5,Constructing the CORD-19 Vaccine Dataset,https://openreview.net/forum?id=S-sjQg88L9z,"[6, 4, 3, 4, 4, 5]",4.333333333333333,6
6,A Benchmark for Compositional Visual Reasoning,https://openreview.net/forum?id=MKDdTASg_1y,"[6, 5, 8, 6, 5, 4]",5.666666666666667,7
7,SUPA: A Lightweight Diagnostic Simulator for Machine Learning in Particle Physics,https://openreview.net/forum?id=ET4VQBSOL3n,"[5, 5, 6, 9, 8, 6]",6.5,8
8,LibSignal: An Open Library for Traffic Signal Control,https://openreview.net/forum?id=xojHpEKoWWF,"[6, 4, 5, 3, 3, 3]",4.0,9
9,AD-Mol: A Dataset for Antibiotic Discovery,https://openreview.net/forum?id=oeOvU1ZEN3y,"[5, 6, 4, 5]",5.0,10
10,Honor of Kings Arena: an Environment for Generalization in Competitive Reinforcement Learning,https://openreview.net/forum?id=7e6W6LEOBg3,"[8, 5, 6, 7, 7]",6.6,11
11,TCAB: A Large-Scale Text Classification Attack Benchmark,https://openreview.net/forum?id=Mg59hlrvV9x,"[7, 5, 5, 5, 6, 3]",5.166666666666667,12
12,MTNeuro:  A Benchmark for Evaluating Representations of Brain Structure Across Multiple Levels of Abstraction,https://openreview.net/forum?id=5xuowSQ17vy,"[5, 7, 5, 6, 6, 8]",6.166666666666667,13
